LEMMA, FREQUENCY, RANGE, UDP
הוא, 12781004, 19835, 0.9507470825828839
ה, 5452275, 19836, 0.9319529222500174
את, 3735066, 19806, 0.9340095056339762
ל, 3210646, 19826, 0.9439772005033666
לא, 2772914, 19815, 0.916615647917749
זה, 2658753, 19818, 0.8966204843170946
ב, 2516921, 19830, 0.9318250935848755
של, 1982312, 19826, 0.9090826377527867
ש, 1926167, 19820, 0.9094046771460029
מה, 1305152, 19790, 0.8907468762749529
היה, 1304529, 19807, 0.8931325560331964
ו, 980167, 19816, 0.884660480024052
על, 933137, 19815, 0.9067653566062737
כול, 713775, 19799, 0.8898427373243137
ידע, 593433, 19720, 0.8601128938604501
מ, 592312, 19801, 0.8965740991806418
יש, 575975, 19778, 0.8863104348406414
כן, 570082, 19674, 0.8038981377476275
רצה, 507198, 19677, 0.8450717535085746
טוב, 488178, 19725, 0.8181433958973447
עשה, 483846, 19737, 0.8508522308606108
אם, 445382, 19735, 0.8706711557936716
אבל, 431886, 19563, 0.8460709483938346
עם, 430390, 19771, 0.8648586121732608
אמר, 422616, 19655, 0.8442237836468901
סדר, 380965, 19442, 0.763429156062484
אל, 355245, 19727, 0.8312435798514418
אז, 342187, 19688, 0.8169435257387767
כאן, 341061, 19211, 0.7671627296709258
הלך, 334174, 19636, 0.782645221231704
איש, 324661, 19550, 0.8083094475712358
צריך, 308196, 19589, 0.8112258741086381
חשב, 304175, 19595, 0.8372095290994583
רק, 303608, 19707, 0.8536827523455273
שם, 301185, 19634, 0.8426018948294767
כך, 282834, 19619, 0.8130113882079957
דבר, 278347, 19634, 0.8404375992352378
ראה, 270470, 19646, 0.8404112102034853
זאת, 270191, 19226, 0.7551156335500111
יותר, 265476, 19664, 0.8477453879069099
בא, 261480, 19645, 0.8291196700870246
עכשיו, 258644, 19506, 0.810879480741842
אחד, 248328, 19622, 0.8376939647945472
יכול, 245825, 19630, 0.8096546749311138
או, 233521, 19442, 0.7820537211269304
למה, 233429, 19416, 0.8078697972439027
משהו, 226683, 19382, 0.8229179163508775
מי, 221838, 19437, 0.8138367831492138
אין, 214694, 19587, 0.8369285019846086
זמן, 207918, 19564, 0.8216714728908153
כמו, 206743, 19509, 0.8224306225516014
נכון, 201200, 19406, 0.8042016674678729
איך, 200030, 19477, 0.832567599552291
זו, 196983, 17484, 0.7173286749286509
כמה, 176804, 19429, 0.8250059840551598
גם, 175932, 19443, 0.8064288513181241
עוד, 174839, 19326, 0.8048072457328368
בן, 174085, 18279, 0.7016442045269154
נראה, 168815, 19390, 0.8035872063968538
אולי, 167449, 19248, 0.7947329983638629
בית, 166303, 18452, 0.7337493129092927
פעם, 164317, 19240, 0.8048910338905548
קרה, 160509, 19145, 0.7946655384775938
חייב, 160420, 18963, 0.7666033743931264
ילד, 159354, 17762, 0.6800241821477291
כ, 157190, 19254, 0.8143798815975852
יום, 152540, 18884, 0.7774248456114503
דיבר, 152197, 18880, 0.7837993887062629
מאוד, 151188, 18778, 0.7558292788758395
