LEMMA	FREQUENCY	RANGE	UDP
הוא	121,008.92	43455	22,227,310.52
ה	50,841.12	43458	9,153,952.58
את	35,337.28	43426	6,357,357.64
ל	29,102.77	43448	5,311,835.36
לא	27,213.76	43433	4,822,345.74
זה	26,418.69	43441	4,614,840.01
ב	24,839.48	43450	4,472,208.92
של	20,088.89	43445	3,529,189.96
ש	20,028.64	43439	3,527,087.63
היה	13,312.52	43420	2,298,194.02
מה	12,192.80	43403	2,107,876.08
ו	9,840.85	43429	1,687,960.58
על	9,119.70	43430	1,597,865.21
כול	6,842.01	43414	1,174,558.76
ידע	6,205.85	43323	1,032,405.06
כן	6,232.26	43226	971,073.85
מ	5,479.15	43411	943,781.99
יש	5,519.12	43376	937,885.08
עשה	4,941.68	43311	810,088.75
אבל	4,757.33	42963	785,248.37
טוב	4,891.35	43291	766,201.25
רצה	4,671.67	43202	765,197.00
אם	4,444.59	43321	745,301.07
עם	4,333.17	43331	727,755.37
אמר	4,128.07	43196	681,096.31
אז	4,052.24	43202	653,014.96
סדר	4,305.52	42733	619,555.39
צריך	3,501.64	43101	554,553.56
רק	2,996.30	43306	492,899.21
חשב	3,021.85	43062	486,623.93
כאן	3,217.62	41759	482,525.32
הלך	3,297.97	43040	474,757.64
דבר	2,835.26	43192	460,896.72
איש	2,904.93	42958	447,039.01
אל	2,829.27	43249	445,302.82
כך	2,777.32	43151	439,802.19
יותר	2,682.46	43206	437,958.99
שם	2,640.94	43109	419,597.40
יכול	2,531.17	43141	395,488.52
ראה	2,399.17	43120	384,717.06
עכשיו	2,398.62	42758	376,752.89
אחד	2,308.83	43074	367,649.84
משהו	2,190.14	42768	347,937.78
למה	2,234.96	42608	347,496.06
בא	2,166.77	43050	337,851.62
זאת	2,365.90	41920	331,839.07
או	2,131.42	42796	327,755.51
זמן	2,054.03	43034	327,428.07
נכון	2,037.30	42700	316,377.56
כמו	2,002.99	42849	312,095.47
אין	1,945.44	42895	311,530.13
איך	1,898.80	42714	303,623.98
מי	1,927.41	42688	299,032.16
