IMDb ID	Title	Year	Language(s)
tt0081283	Ordinary People	1980	English
tt0080761	Friday the 13th	1980	English
tt0080419	Children's Island	1980	Swedish
tt0080421	Battle Beyond the Stars	1980	English
tt0081562	Stir Crazy	1980	English
tt0080678	The Elephant Man	1980	English
tt0759811	The Backbone of Night	1980	N/A
tt0081554	Stardust Memories	1980	English, French, Persian
tt0759810	One Voice in the Cosmic Fugue	1980	N/A
tt0082924	Super Fuzz	1980	English
tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	English
tt0080663	Duck Dodgers and the Return of the 24½th Century	1980	English
tt0081375	Private Benjamin	1980	English
tt0759805	Blues for a Red Planet	1980	N/A
tt0080801	The Gods Must Be Crazy	1980	English, Afrikaans, Ungwatsi
tt0080855	Heaven's Gate	1980	English, Russian, French, Polish, German
tt0082477	Gregory's Girl	1980	English
tt0080549	Coal Miner's Daughter	1980	English
tt0081698	Used Cars	1980	English
tt0080745	Flash Gordon	1980	English
tt0080716	Fame	1980	English, Spanish, French, Russian
tt0080365	American Gigolo	1980	English, Swedish, French, German
tt0081071	The Long Riders	1980	English, Swedish
tt0080339	Airplane!	1980	English
tt0080736	The Final Countdown	1980	English, Japanese, Russian
tt0079802	The Return of the King	1980	English
tt0081070	The Long Good Friday	1980	English, French
tt0759812	The Shores of the Cosmic Ocean	1980	N/A
tt0080274	Shogun	1980	English, Japanese
tt0080610	The Last Metro	1980	French, German
tt0080889	Hopscotch	1980	English, German, French, Russian
tt0081505	The Shining	1980	English
tt0081353	Popeye	1980	English
tt0081398	Raging Bull	1980	English
tt0080437	The Big Red One	1980	English, French, Italian, German
tt0759807	Harmony of the Worlds	1980	English
tt0081573	Superman II	1980	English, French, Russian
tt0080455	The Blues Brothers	1980	English
tt0080031	Tom Horn	1980	English
tt0081323	Pepi, Luci, Bom and Other Girls Like Mom	1980	Spanish
tt0080453	The Blue Lagoon	1980	English
tt0080948	The Jazz Singer	1980	English
tt0760462	The Edge of Forever	1980	English
tt0080377	Any Which Way You Can	1980	English
tt0079619	Oblomov	1980	Russian
tt0080749	The Fog	1980	English
tt0081036	The Lathe of Heaven	1980	English
tt0081499	The Young Master	1980	Cantonese
tt0082869	Outland	1981	English
tt0083111	Southern Comfort	1981	English, French
tt0082096	Das Boot	1981	German, English, French
tt0461517	High School Scandal	1981	English, Filipino, Tagalog
tt0082694	The Road Warrior	1981	English
tt0082340	Escape from New York	1981	English
tt0082971	Raiders of the Lost Ark	1981	English, German, Hebrew, Spanish, Arabic, Nepali
tt0082949	The Professional	1981	French
tt0082783	My Dinner with Andre	1981	English, French
tt1802335	Part I	1981	English
tt0082517	History of the World: Part I	1981	English, Latin, French
tt0082528	Hot Bubblegum	1981	Hebrew
tt0082377	The Final Conflict	1981	English
tt0082979	Reds	1981	English, Russian, German, French, Finnish, Italian
tt0082348	Excalibur	1981	English
tt0355273	Bob Hope's All-Star Comedy Look at the Fall Season: It's Still Free and Worth It!	1981	English
tt0082912	Pixote	1981	Portuguese
tt0082158	Chariots of Fire	1981	English, French
tt0496644	The Walls of Jericho	1981	English
tt0449222	Dhaulagiri 8.172 metres. La muntanya de les tempestes	1981	Spanish
tt0082533	The Howling	1981	English, Spanish
tt0081974	Absence of Malice	1981	English, Spanish
tt0082398	For Your Eyes Only	1981	English, Greek, Italian
tt1809840	Part II	1981	N/A
tt0333351	Twin Dragons	1981	Korean
tt0083907	The Evil Dead	1981	English
tt0373410	Ulo ng gapo	1981	N/A
tt0081609	Assassination Attempt	1981	Russian
tt1809841	Part III	1981	N/A
tt0082495	Halloween II	1981	English
tt0082801	Neighbors	1981	English, German
tt0083316	The Wave	1981	English
tt0082432	Gallipoli	1981	English
tt0083326	Whose Life Is It Anyway?	1981	English
tt0082176	Christiane F.	1981	German
tt0149571	Aaj Kaal Parshur Galpa	1981	Bengali
tt0082329	Endless Love	1981	English
tt0082183	La Chevre	1981	French, Spanish
tt0083089	Do You Remember Dolly Bell?	1981	Serbo-Croatian
tt0083284	Victory	1981	English
tt0082163	Nice Dreams	1981	English
tt0082351	Eye of the Needle	1981	English, German
tt0082509	Heavy Metal	1981	English
tt0082934	The Postman Always Rings Twice	1981	English, Greek
tt0085518	Faces of Death II	1981	English
tt0082136	The Cannonball Run	1981	English, Cantonese, Japanese, Arabic
tt0082416	The French Lieutenant's Woman	1981	English
tt1160931	Public Enemy Number One	1981	English
tt0082088	Blood Wedding	1981	Spanish
tt0082418	Friday the 13th Part 2	1981	English
tt0083131	Stripes	1981	English, Russian, Polish
tt0082010	An American Werewolf in London	1981	English
tt0081633	Time Bandits	1981	English
tt0082846	On Golden Pond	1981	English
tt0083197	Threshold	1981	English
tt0082027	The Archer: Fugitive from the Empire	1981	English, German
tt0081455	Scanners	1981	English
tt1809842	Part IV	1981	N/A
tt0079891	The Shaolin Temple	1982	Mandarin
tt0082250	Death Wish II	1982	English
tt0083511	48 Hrs.	1982	English
tt0083922	Fanny and Alexander	1982	Swedish, German, Yiddish, English, French
tt0083866	E.T. the Extra-Terrestrial	1982	English
tt0084088	Honkytonk Man	1982	English
tt0085794	The King of Comedy	1982	English
tt0084814	Trail of the Pink Panther	1982	English
tt1088793	The Nazca Plateau	1982	N/A
tt1090595	Attack of the Olmecs	1982	N/A
tt0084021	Grease 2	1982	English
tt1088794	The New Continent	1982	N/A
tt0083658	Blade Runner	1982	English, German, Cantonese, Japanese, Hungarian, Arabic
tt1088795	The Ship Solaris	1982	N/A
tt0084649	The Secret of NIMH	1982	English
tt1088792	The Mirror of the Moon	1982	N/A
tt1088775	Crossing the Atlantic	1982	N/A
tt1088781	Mystery of the Parents	1982	N/A
