# 1997 - error with tt1996308071
IMDb ID	Title	Year	Language(s)
tt0116922	Lost Highway	1997	English
tt0117496	Robinson Crusoe	1997	English
tt0117786	Mr. Nice Guy	1997	English, Cantonese, Mandarin
tt0118276	Buffy the Vampire Slayer	1997–2003	English
tt0118284	Chicago Sons	1997–	English
tt0118375	King of the Hill	1997–2010	English
tt0118381	The Last Don	1997–	English, Italian
tt0118414	The Odyssey	1997–	English
tt0118421	Oz	1997–2003	English
tt0118548	Absolute Power	1997	English, Spanish
tt0118556	Addicted to Love	1997	English, French
tt0118571	Air Force One	1997	English, Russian
tt0118583	Alien: Resurrection	1997	English
tt0118604	An American Werewolf in Paris	1997	English, French, German
tt0118607	Amistad	1997	English, Mende, Spanish, Portuguese
tt0118615	Anaconda	1997	English
tt0118617	Anastasia	1997	English, Russian, French
tt0118623	Anna Karenina	1997	English, Russian
tt0118647	The Assignment	1997	English, French, Spanish
tt0118655	Austin Powers: International Man of Mystery	1997	English
tt0118688	Batman & Robin	1997	English
tt0118689	Bean	1997	English
tt0118698	Bent	1997	English
tt0118708	Beverly Hills Ninja	1997	English
tt0118749	Boogie Nights	1997	English
tt0118750	Booty Call	1997	English
tt0118767	Brother	1997	Russian, English, French
tt0118768	The Brave	1997	English
tt0118771	Breakdown	1997	English
tt0118799	Life Is Beautiful	1997	Italian, German, English
tt0118819	Live Flesh	1997	Spanish, Italian, Bulgarian
tt0118842	Chasing Amy	1997	English
tt0118849	Children of Heaven	1997	Persian
tt0118880	Con Air	1997	English, Spanish
tt0118883	Conspiracy Theory	1997	English
tt0118884	Contact	1997	English, Spanish, German, Russian
tt0118887	Cop Land	1997	English
tt0118900	Gang Related	1997	English
tt0118928	Dante's Peak	1997	English
tt0118954	Deconstructing Harry	1997	English, Hebrew
tt0118971	The Devil's Advocate	1997	English, German, Italian, Mandarin, Spanish
tt0118972	The Devil's Own	1997	English
tt0118983	Dil To Pagal Hai	1997	Hindi
tt0118996	Dobermann	1997	French, English, Spanish
tt0119008	Donnie Brasco	1997	English, Italian, Japanese
tt0119013	Double Team	1997	English, Italian
tt0119051	The Edge	1997	English
tt0119081	Event Horizon	1997	English, Latin
tt0119094	Face/Off	1997	English, Latin
tt0119114	Fever Pitch	1997	English
tt0119116	The Fifth Element	1997	English, Swedish, German
tt0119123	Fire Down Below	1997	English
tt0119137	Flubber	1997	English
tt0119141	Fools Rush In	1997	English, Spanish
tt0119152	Free Willy 3: The Rescue	1997	English
tt0119164	The Full Monty	1997	English
tt0119167	Funny Games	1997	German, French, Italian
tt0119173	G.I. Jane	1997	English
tt0119174	The Game	1997	English, Cantonese, German
tt0119177	Gattaca	1997	English, Esperanto
tt0119190	George of the Jungle	1997	English, Spanish
tt0119210	Switchback	1997	English
tt0119217	Good Will Hunting	1997	English
tt0119225	Gridlock'd	1997	English
tt0119229	Grosse Pointe Blank	1997	English
tt0119237	Gummo	1997	English
tt0119250	Fireworks	1997	Japanese
tt0119282	Hercules	1997	English, Spanish, Greek, Greek
tt0119297	Historias de Fútbol	1997	Spanish
tt0119303	Home Alone 3	1997	English, Polish
tt0119311	Hoodlum	1997	English
tt0119345	I Know What You Did Last Summer	1997	English
tt0119349	The Ice Storm	1997	English
tt0119389	The Island on Bird Street	1997	English, German, Latin
tt0119395	The Jackal	1997	English, Russian
tt0119396	Jackie Brown	1997	English
tt0119468	Kiss the Girls	1997	English, Mandarin
tt0119472	Knockin' on Heaven's Door	1997	German, English
tt0119485	Kundun	1997	English, Tibetan, Mandarin
tt0119488	L.A. Confidential	1997	English
tt0119528	Liar Liar	1997	English
tt0119558	Lolita	1997	English
tt0119567	The Lost World: Jurassic Park	1997	English, Spanish
tt0119590	Ma Vie en Rose	1997	French
tt0119592	Mad City	1997	English
tt0119654	Men in Black	1997	English, Spanish
tt0119664	Metro	1997	English
tt0119668	Midnight in the Garden of Good and Evil	1997	English, French
tt0119678	Minotaur	1997	English
tt0119695	Money Talks	1997	English, French
tt0119698	Princess Mononoke	1997	Japanese
tt0119707	Mortal Kombat: Annihilation	1997	English
tt0119709	Most Wanted	1997	English
tt0119715	Mousehunt	1997	English
tt0119718	Mr. Magoo	1997	English
tt0119731	Murder at 1600	1997	English
tt0119738	My Best Friend's Wedding	1997	English, French, Italian
tt0119746	The Myth of Fingerprints	1997	English
tt0119807	Nothing to Lose	1997	English
tt0119822	As Good as It Gets	1997	English
tt0119874	The Peacemaker	1997	English, Russian, Serbian, Bosnian, Croatian, Polish
tt0119896	Picture Perfect	1997	English
tt0119908	Poison Ivy: The New Seduction	1997	English
tt0119925	The Postman	1997	English
tt0119978	The Rainmaker	1997	English
tt0120029	RocketMan	1997	English
tt0120034	Roseanna's Grave	1997	English
tt0120053	The Saint	1997	English, Russian
tt0120082	Scream 2	1997	English
tt0120094	Selena	1997	English, Spanish
tt0120102	Seven Years in Tibet	1997	English, German, Mandarin, Tibetan, Hindi
tt0120107	Shadow Conspiracy	1997	English
tt0120112	She's So Lovely	1997	English
tt0120177	Spawn	1997	English
tt0120179	Speed 2: Cruise Control	1997	English, American Sign Language, Portuguese
