# 2000
IMDb ID	Title	Year	Language(s)
tt0118694	In the Mood for Love	2000	Cantonese, Shanghainese, French, Spanish
tt0119273	Heavy Metal 2000	2000	English
tt0120202	State and Main	2000	English, Italian
tt0120630	Chicken Run	2000	English
tt0120755	Mission: Impossible II	2000	English
tt0120903	X-Men	2000	English
tt0120913	Titan A.E.	2000	English, Mandarin
tt0120917	The Emperor's New Groove	2000	English
tt0122459	Return to Me	2000	English, Italian
tt0130623	Dinosaur	2000	English
tt0131704	The Adventures of Rocky & Bullwinkle	2000	English
tt0134084	Scream 3	2000	English
tt0134847	Pitch Black	2000	English, Arabic
tt0134983	Supernova	2000	English
tt0138749	The Road to El Dorado	2000	English
tt0138946	The Yards	2000	English, Spanish
tt0139388	It Had to Be You	2000	English
tt0141926	U-571	2000	English, German
tt0142032	Dune	2000–	English, Italian
tt0144084	American Psycho	2000	English, Spanish, Cantonese
tt0144142	Committed	2000	English, Spanish
tt0144528	Nutty Professor II: The Klumps	2000	English
tt0144964	Highlander: Endgame	2000	English, French, Scottish Gaelic
tt0146309	Thirteen Days	2000	English, Russian, Spanish, Romanian
tt0146882	High Fidelity	2000	English, Danish
tt0146984	The Legend of Bagger Vance	2000	English
tt0149367	Where the Money Is	2000	English
tt0149624	All the Pretty Horses	2000	English, Spanish
tt0156812	My Dog Skip	2000	English, German
tt0157262	2001: A Space Travesty	2000	English
tt0159784	Takedown	2000	English
tt0160009	The Art of War	2000	English
tt0160127	Charlie's Angels	2000	English, German, Finnish, Japanese, Cantonese
tt0160611	Ordinary Decent Criminal	2000	English
tt0160797	Rules of Engagement	2000	English, Arabic
tt0161081	What Lies Beneath	2000	English
tt0162222	Cast Away	2000	English, Russian
tt0162650	Shaft	2000	English, German, Spanish
tt0162983	Hanging Up	2000	English
tt0163978	The Beach	2000	English, French, Swedish, Thai, Serbian
tt0163983	Bless the Child	2000	English
tt0164052	Hollow Man	2000	English
tt0164212	Under Suspicion	2000	English, Italian, Spanish
tt0165929	Romeo Must Die	2000	English, Chinese
tt0168504	A Better Way to Die	2000	English
tt0168629	Dancer in the Dark	2000	English, German, Czech
tt0168856	A Fish Tale	2000	English, Danish
tt0169514	Witchblade	2000	English
tt0170016	How the Grinch Stole Christmas	2000	English
tt0170691	Tigerland	2000	English
tt0171433	Keeping the Faith	2000	English, Hebrew, Spanish
tt0171580	Nurse Betty	2000	English, Spanish
tt0172495	Gladiator	2000	English
tt0174480	Autumn in New York	2000	English
tt0175142	Scary Movie	2000	English
tt0176783	Gossip	2000	English, Italian
tt0177858	In July	2000	German, English, Turkish, Bulgarian, Serbo-Croatian, Romanian
tt0177971	The Perfect Storm	2000	English
tt0179137	Coronation	2000	Spanish
tt0180073	Quills	2000	English, Latin
tt0180093	Requiem for a Dream	2000	English
tt0181199	Arabian Nights	2000–	English
tt0181536	Finding Forrester	2000	English, German
tt0181865	Traffic	2000	English, Spanish
tt0181875	Almost Famous	2000	English, French
tt0181984	Boiler Room	2000	English, Russian
tt0183505	Me, Myself & Irene	2000	English, German
tt0183523	Mission to Mars	2000	English
tt0183869	Taxi 2	2000	French, Japanese, German
tt0184858	Reindeer Games	2000	English
tt0184894	Shanghai Noon	2000	English, Mandarin, Sioux, Spanish
tt0185014	Wonder Boys	2000	English
tt0185183	Battlefield Earth	2000	English
tt0185431	Little Nicky	2000	English
tt0186151	Frequency	2000	English
tt0186566	Space Cowboys	2000	English
tt0186975	Down to You	2000	English, French
tt0187078	Gone in Sixty Seconds	2000	English
tt0187393	The Patriot	2000	English
tt0189998	Shadow of the Vampire	2000	English, German, Luxembourgish
tt0190138	The Whole Nine Yards	2000	English, French, Spanish
tt0190332	Crouching Tiger, Hidden Dragon	2000	Mandarin
tt0190374	Dungeons & Dragons	2000	English
tt0190524	Left Behind: The Movie	2000	English
tt0190590	O Brother, Where Art Thou?	2000	English
tt0190611	Captain Pantoja and the Special Services	2000	Spanish
tt0190865	Vertical Limit	2000	English, Urdu
tt0191181	Hitch	2000	English
tt0191397	The Replacements	2000	English, American Sign Language
tt0191754	28 Days	2000	English
tt0192614	The Skulls	2000	English
