IMDb ID	Title	Year	Language(s)
tt0120667	Fantastic Four	2005	English
tt0121164	Corpse Bride	2005	English
tt0121766	Star Wars: Episode III - Revenge of the Sith	2005	English
tt0216584	Bob the Butler	2005	English
tt0240200	Water	2005	Hindi, Sanskrit
tt0257516	Cursed	2005	English
tt0267024	Thru the Moebius Strip	2005	English
tt0267891	The Ringer	2005	English
tt0285175	Havoc	2005	English, Spanish
tt0288569	Iluminados por el fuego	2005	Spanish
tt0294806	The Keeper: The Legend of Omar Khayyam	2005	Persian, English
tt0294870	Rent	2005	English
tt0303929	Dracula III: Legacy	2005	English, Romanian, French
tt0312004	The Curse of the Were-Rabbit	2005	English
tt0317132	Because of Winn-Dixie	2005	English
tt0318081	A Sound of Thunder	2005	English, Mandarin
tt0318649	Sahara	2005	English, French, Arabic
tt0318761	Thumbsucker	2005	English
tt0320661	Kingdom of Heaven	2005	English, Arabic, Latin, Italian
tt0326905	The Great Raid	2005	Filipino, English, Tagalog, Japanese
tt0327643	Dirty Love	2005	English
tt0329774	xXx: State of the Union	2005	English
tt0330373	Harry Potter and the Goblet of Fire	2005	English, French
tt0331933	Man of the House	2005	English
tt0332047	Fever Pitch	2005	English
tt0337636	Hellraiser: Deader	2005	English
tt0338427	Shopgirl	2005	English, Japanese
tt0339334	Sprung! The Magic Roundabout	2005	English, French
tt0340163	Hostage	2005	English
tt0342258	Unleashed	2005	English
tt0342735	Manderlay	2005	English
tt0343996	The Lost City	2005	English, Spanish
tt0348333	Waiting...	2005	English, German
tt0348505	Asylum	2005	English
tt0349080	All About Anna	2005	English
tt0349166	Supernatural	2005	English
tt0350261	An Unfinished Life	2005	English
tt0351283	Madagascar	2005	English, Portuguese, Spanish, German, French
tt0352248	Cinderella Man	2005	English
tt0354595	The Game of Their Lives	2005	English, Spanish
tt0354623	Hellraiser: Hellworld	2005	English
tt0355295	The Brothers Grimm	2005	English, French, German, Italian
tt0356680	The Family Stone	2005	English, American Sign Language
tt0356910	Mr. & Mrs. Smith	2005	English, Spanish
tt0357110	The Ballad of Jack and Rose	2005	English
tt0357182	Rx	2005	English
tt0357277	Elektra	2005	English, Japanese
tt0357507	Boogeyman	2005	English
tt0358082	Robots	2005	English, Italian
tt0358273	Walk the Line	2005	English, Russian
tt0358294	Into the Sun	2005	English, Japanese
tt0358456	Earthlings	2005	English
tt0360486	Constantine	2005	English, Filipino, Tagalog
tt0360717	King Kong	2005	English
tt0361089	Valiant	2005	English
tt0361693	Happy Endings	2005	English
tt0361715	Duma	2005	English
tt0362165	Son of the Mask	2005	English
tt0363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	English, German
tt0365485	The Matador	2005	English, Spanish
tt0365658	The Prophecy: Uprising	2005	English, Romanian, Latin, Greek
tt0365686	Revolver	2005	English, Cantonese
tt0365737	Syriana	2005	English, Urdu, Arabic, Persian, French, Mandarin
tt0365847	The Myth	2005	Mandarin, Cantonese, English, Korean
tt0365885	The Upside of Anger	2005	English
tt0366627	The Jacket	2005	English
tt0366780	Mirrormask	2005	English
