# 2007
IMDBid	Title	Year	Language(s)
tt0211933	Awake	2007	English, Japanese
tt0213985	Partition	2007	English
tt0259324	Ghost Rider	2007	English
tt0283503	Brooklyn Rules	2007	English
tt0292963	Before the Devil Knows You're Dead	2007	English
tt0293564	Rush Hour 3	2007	English, French, Japanese, Mandarin, Latin
tt0299981	Highlander: The Source	2007	English
tt0337978	Live Free or Die Hard	2007	English, Italian, French
tt0338216	Lucky You	2007	English, Spanish
tt0365880	Uncle P	2007	English
tt0367959	Hannibal Rising	2007	English, German, Russian
tt0368794	I'm Not There.	2007	English
tt0372873	Dragon Wars: D-War	2007	English, Korean
tt0373883	Halloween	2007	English
tt0373889	Harry Potter and the Order of the Phoenix	2007	English
tt0374563	Captivity	2007	English
tt0379976	Savage Grace	2007	English, French, Spanish
tt0381849	3:10 to Yuma	2007	English, Chinese
tt0382932	Ratatouille	2007	English, French
tt0385752	The Golden Compass	2007	English, Icelandic, Russian, French
tt0386032	Sicko	2007	English, French, Spanish, Russian
tt0388182	King of California	2007	English, Spanish
tt0389328	Rise: Blood Hunter	2007	English
tt0389722	30 Days of Night	2007	English
tt0389790	Bee Movie	2007	English
tt0393597	Earth	2007	English
tt0396555	Meet the Robinsons	2007	English
tt0397044	Blood and Chocolate	2007	English, Romanian
tt0398808	Bridge to Terabithia	2007	English
tt0399095	Trade	2007	English, Spanish, Polish, Russian
tt0400347	Decoys 2: Alien Seduction	2007	English
tt0401383	The Diving Bell and the Butterfly	2007	French
tt0401997	Breach	2007	English, Russian, Arabic, Latin
tt0408236	Sweeney Todd: The Demon Barber of Fleet Street	2007	English, Italian
tt0408839	The Heartbreak Kid	2007	English, Spanish
tt0411061	88 Minutes	2007	English
tt0413099	Evan Almighty	2007	English
tt0413267	Shrek the Third	2007	English
tt0413300	Spider-Man 3	2007	English, French
tt0414055	Elizabeth: The Golden Age	2007	English, Spanish, Swedish
tt0415141	Mama's Boy	2007	English
tt0415856	Hounddog	2007	English
tt0415965	Martian Child	2007	English
tt0416044	Mongol: The Rise of Genghis Khan	2007	Mongolian, Mandarin
tt0416185	Resurrecting the Champ	2007	English
tt0416508	Becoming Jane	2007	English
tt0416675	Dark Matter	2007	Mandarin, English
tt0418279	Transformers	2007	English, Spanish
tt0418586	The Cake Eaters	2007	English
tt0418758	Jacquou le croquant	2007	French
tt0419704	Donkey Xote	2007	Spanish
tt0419843	In the Land of Women	2007	English
tt0419887	The Kite Runner	2007	Dari, English, Pushto, Russian, Urdu
tt0419984	Mr. Woodcock	2007	English
tt0421082	Control	2007	English
tt0422774	Are We Done Yet?	2007	English
tt0422783	Music Within	2007	English
tt0423294	Surf's Up	2007	English
tt0423977	Charlie Bartlett	2007	English
tt0424823	Balls of Fury	2007	English, Mandarin
tt0425112	Hot Fuzz	2007	English
tt0425308	Noise	2007	English, Russian
tt0425413	Run, Fatboy, Run	2007	English
tt0425430	The Messengers	2007	English
tt0426931	August Rush	2007	English
tt0427309	The Great Debaters	2007	English
tt0427327	Hairspray	2007	English
tt0427392	The Invasion	2007	English, Russian
tt0427470	The Lookout	2007	English
tt0428579	Suburban Girl	2007	English, French
tt0431197	The Kingdom	2007	English, Arabic
tt0431308	P.S. I Love You	2007	English
tt0432021	Resident Evil: Extinction	2007	English
tt0435528	Whisper	2007	English
tt0435670	The Invisible	2007	English
tt0435705	Next	2007	English, French, German, Serbian
tt0437954	Virgin Territory	2007	English, Russian
tt0438052	The Gene Generation	2007	English
tt0438859	The Color of Freedom	2007	English, Xhosa
tt0440963	The Bourne Ultimatum	2007	English, French, Arabic, Russian, Spanish
tt0442933	Beowulf	2007	English, Old English
tt0443473	The Condemned	2007	English, Spanish, German
tt0443680	The Assassination of Jesse James by the Coward Robert Ford	2007	English, Danish
tt0443706	Zodiac	2007	English
tt0444672	Moving McAllister	2007	English
tt0444682	The Reaping	2007	English, Spanish
tt0445922	Across the Universe	2007	English
tt0445934	Blades of Glory	2007	English, Japanese
tt0446013	Pathfinder	2007	English, Icelandic
tt0446752	Full of It	2007	English
tt0448134	Sunshine	2007	English
tt0449018	The Final Season	2007	English
tt0449088	Pirates of the Caribbean: At World's End	2007	English
tt0449471	Catacombs	2007	English, French
tt0449573	California Dreamin'	2007	English, Romanian, Spanish, Italian
tt0450188	La Vie en Rose	2007	French, English
tt0450385	1408	2007	English
tt0452592	Borderland	2007	English, Spanish
tt0452623	Gone Baby Gone	2007	English
tt0452625	Good Luck Chuck	2007	English
tt0452702	Vacancy	2007	English
tt0453451	Mr. Bean's Holiday	2007	English, French, Spanish, Russian
tt0453548	Snow Angels	2007	English
tt0453556	TMNT	2007	English
tt0454065	La Antena	2007	Spanish
tt0454962	Taking 5	2007	English
tt0455760	Dead Silence	2007	English
tt0455782	The Hunting Party	2007	English, Serbo-Croatian, Croatian
