# 2008
IMDb ID	Title	Year	Language(s)
tt0200465	The Bank Job	2008	English, Latin
tt0357668	The Flyboys	2008	English
tt0361500	Delgo	2008	English
tt0363780	Lymelife	2008	English
tt0364970	Babylon A.D.	2008	English, Russian
tt0365675	The Red Baron	2008	German, English, French
tt0367882	Indiana Jones and the Kingdom of the Crystal Skull	2008	English, German, Russian
tt0368563	Possession	2008	English
tt0369436	Four Christmases	2008	English
tt0371746	Iron Man	2008	English, Persian, Urdu, Arabic, Hungarian
tt0373051	Journey to the Center of the Earth	2008	English, Icelandic, Italian
tt0374569	Che: Part Two	2008	Spanish, English
tt0379865	Leatherheads	2008	English, German
tt0383028	Synecdoche, New York	2008	English, German
tt0392878	The Onion Movie	2008	English, Russian, Spanish
tt0396707	The Secret of Moonacre	2008	English
tt0397892	Bolt	2008	English
tt0400426	Far Cry	2008	English
tt0404254	My Sassy Girl	2008	English
tt0406759	The Eye	2008	English, Spanish
tt0409345	Surveillance	2008	English
tt0410377	Nim's Island	2008	English
tt0411272	Mesrine Part 2: Public Enemy #1	2008	French, English
tt0411475	Hell Ride	2008	English
tt0411477	Hellboy II: The Golden Army	2008	English, Scottish Gaelic
tt0412536	Brideshead Revisited	2008	English, Italian, Arabic, Latin, French
tt0414426	Quid Pro Quo	2008	English
tt0416212	The Secret Life of Bees	2008	English
tt0416236	The Spiderwick Chronicles	2008	English
tt0420238	The Tale of Despereaux	2008	English
tt0421073	Street Kings	2008	English, Turkish
tt0421715	The Curious Case of Benjamin Button	2008	English, Russian, French
tt0424600	The Andromeda Strain	2008	English
tt0425061	Get Smart	2008	English, Russian, Panjabi, Arabic
tt0425637	Red Cliff	2008	Mandarin
tt0426592	Superhero Movie	2008	English
tt0430770	The Women	2008	English
tt0430922	Role Models	2008	English
tt0431842	Go with Peace Jamil	2008	Arabic, Danish
tt0435679	Keith	2008	English
tt0436364	Good	2008	English, German, French
tt0436854	Tulpan	2008	Kazakh, Russian
tt0441773	Kung Fu Panda	2008	English
tt0441782	Restraint	2008	English
tt0443274	Vantage Point	2008	English, Spanish
tt0443435	Autopsy	2008	English
tt0443559	Killshot	2008	English
